reward,beta_kl,difference_mean,ci95_low,ci95_high
bright,5.0,0.07772238614658515,0.07276087586696542,0.08268389642620488
bright,2.0,0.15916192950680852,0.1521413610660173,0.16618249794759973
bright,1.0,0.22945499746128917,0.2217779157229717,0.23713207919960663
bright,0.5,0.2953399463246266,0.28708465223289176,0.3035952404163615
dark,5.0,0.03276908413196603,0.03096215642678169,0.034576011837150374
dark,2.0,0.07622304031004508,0.0732971272322188,0.07914895338787135
dark,1.0,0.119652911555022,0.11587184935494306,0.12343397375510094
dark,0.5,0.13333179708570242,0.1287945722655273,0.13786902190587755
lower_half,5.0,0.10741365607827902,0.09953089151565284,0.1152964206409052
lower_half,2.0,0.15927737656359872,0.14290241879712037,0.17565233433007707
lower_half,1.0,0.19300949185465774,0.16674293539581206,0.21927604831350342
lower_half,0.5,0.20981046347878873,0.18229512749060597,0.2373257994669715
